review,prediction
"The check in staff were very friendly and could not do enough to help after we asked them to change the bedding as we were both allergic to feather duvets etc They had made a note on our last visit, and could not do enough to rectify once we told them they were still feather!",positive
The room was great - modern & clean. Robes & slippers were a welcome touch (superior room) The restaurant area had been refurbished and was very attractive. The breakfast was fabulous. The staff were friendly although there could have been more staff on duty on Saturday afternoon. A large hen party group was checking in and there was no porter on duty so to collect bags from the storage area took over 20 minutes.,negative
This is a great hotel. The staff are very friendly and professional and willing to help. The rooms have everything you need for a business traveler. The wifi is quick and I had no problem in streaming music and videos.,positive
The price of the room which we stayed in was £270 (without breakfast!!) I don't think it was worth that much as I have previously stayed at radisson hotels which have been a lot nicer and cheaper! Also the noise from the 6th floor is very bad especially being a Saturday night it kept us up throughout the night!,positive
The parking facilities are excellent but did find the charges a little steep but that's the only gripe I have and that's really nit picking for something.,negative
"I come to this hotel regularly and I find the ""superior"" bedrooms are getting a bit tired at the back of the hotel, the decor is a bit shabby now and needs an update, the better rooms are at the front with the view over the Headrow or the square out front. 
I also don't like the serving implements in the breakfast room, its a small thing but annoying!",positive
"Rooms starting to feel their age a little but still extremely functional and offer a great standard of accommodation. Breakfast price slightly on the high side, price closer to that of a 5 star hotel.",positive
The place was well located and we were very happy by its proximity to Trinity Mall and a major shopping complex. Everything in Leeds seemed so near. We just had to walk around mostly. Neat and tidy. The rooms were comfy. We had two double beds where three of us could comfortably sleep and the sheets were changed on a daily basis. Thanks.,negative
"Stayed here a few times and it can be a little noisy when on the main road side of the building having said that you are in the middle of a busy city.
Reception check in/out can be a little slow at busy times this is not the staffs fault its just there`s too few of them and they also have to deal with an obviously slow and over complicated computer system.",positive
Lovely beds and complimentary water in the room. Great choice at breakfast. Ice bucket in room and ice machines on different floors.,positive
Room is small for a family. has a parking arrangement with close by parking garage but still a bit of a walk with suitcases.,positive
I was very disappointed that there was no hot water in the room after 10am due to maintenance work being carried out but we were not advised of this until we complained that the shower was not working. There was no hot water until after we checked out,negative
"Great comfort, cleanliness and loved the swimming pool/ sauna and breakfast, would highly recommend and will stay here again.",positive
"The beds were so comfy! The hotel staff were really helpful. We were a group of about 20 and the staff on reception went out of their way to put us in rooms next to each other, etc. Breakfast was amazing! Location was perfect.",positive
Shower not up to current standards. Square in front of hotel drinkers gathering point. Very noisy.,negative
One small gripe- I asked for extra milk in room but didn't receive this,positive
"Really comfy beds, great location for shops. Only 5 min walk from train station. Nice reception",positive
"Comfy beds, professional approach from all staff and wonderful breakfast-especially the porridge",positive
