,NB,AdaBoost,ANN,RNN
0,[0.4039188  0.71774404 0.4039188 ],[0.35221355 0.70324862 0.35221355],[0.36633065 0.36798275 0.29703048 0.48622453],[0.45829007 0.46740228 0.38805303 0.56291974]
1,[0.364947   0.72593483 0.364947  ],[0.32369406 0.71566106 0.32369406],[0.2945557  0.28430623 0.22844176 0.43497115],[0.3714012  0.36033037 0.2800664  0.48420417]
2,[0.33005225 0.72627501 0.33005225],[0.32179511 0.71414828 0.32179511],[0.305104   0.29429498 0.25301108 0.45074025],[0.36622563 0.35785425 0.29789472 0.47524917]
3,[0.36124607 0.7243058  0.36124607],[0.3972929  0.70416396 0.3972929 ],[0.3048607  0.29351613 0.24956776 0.45554897],[0.372569  0.3738694 0.3252258 0.4914316]
4,[0.36020625 0.72563854 0.36020625],[0.34526481 0.71112987 0.34526481],[0.33857036 0.33815426 0.2603749  0.47121546],[0.4050083  0.40527534 0.3488099  0.51447797]
5,[0.38151737 0.72246934 0.38151737],[0.29193625 0.72421778 0.29193625],[0.33478805 0.32813272 0.26310143 0.46396634],[0.38700256 0.3852332  0.3204015  0.49494553]
6,[0.36919504 0.72250282 0.36919504],[0.29340445 0.72512877 0.29340445],[0.27660593 0.2758394  0.21534596 0.40460902],[0.34157717 0.33541134 0.26249665 0.45254624]
7,[0.34057434 0.72740858 0.34057434],[0.37670771 0.70254868 0.37670771],[0.3085926  0.29661176 0.25186145 0.45527032],[0.37570372 0.37216803 0.32282636 0.48986882]
8,[0.36297921 0.72731579 0.36297921],[0.34524686 0.71067046 0.34524686],[0.33581522 0.3258715  0.26927522 0.4822634 ],[0.38759854 0.37966663 0.30457687 0.49426612]
9,[0.36655317 0.72298154 0.36655317],[0.2973073  0.72306986 0.2973073 ],[0.30396774 0.29344857 0.24835649 0.44416592],[0.37186038 0.36629924 0.31686544 0.4826741 ]
10,[0.36638042 0.72432512 0.36638042],[0.38719548 0.70379038 0.38719548],[0.3049438  0.29427683 0.24562664 0.44649714],[0.4028922  0.4056119  0.352428   0.52090913]
11,[0.35572098 0.72434742 0.35572098],[0.38786744 0.70074708 0.38786744],[0.27699974 0.28422877 0.2071752  0.41611272],[0.3808483  0.37858877 0.31777    0.49312392]
12,[0.37908058 0.72377017 0.37908058],[0.38163466 0.69889358 0.38163466],[0.3414714  0.33778468 0.27975348 0.47843286],[0.39540252 0.3956134  0.34360558 0.5118499 ]
13,[0.39865833 0.71795989 0.39865833],[0.32480262 0.71555708 0.32480262],[0.3578629  0.36236638 0.27961123 0.48089302],[0.42398864 0.4248059  0.3662462  0.5405918 ]
14,[0.35288581 0.72538366 0.35288581],[0.31620354 0.70879469 0.31620354],[0.32674506 0.31738183 0.26180407 0.4595451 ],[0.38192508 0.38320768 0.30238578 0.49419576]
15,[0.32262483 0.72892243 0.32262483],[0.28804131 0.72233032 0.28804131],[0.25516164 0.24041915 0.20474453 0.40125924],[0.28835207 0.26595458 0.20429069 0.4157634 ]
