,NB,AdaBoost,ANN,RNN
0,[0.54594638 0.67831171 0.54594638],[0.56339731 0.6608421  0.56339731],[0.47716537 0.57713276 0.40729046 0.647805  ],[0.42104465 0.454799   0.38465047 0.60580504]
1,[0.54722055 0.67884776 0.54722055],[0.56064739 0.62697821 0.56064739],[0.46237302 0.57179016 0.37334144 0.64019865],[0.4291571  0.49976474 0.37417144 0.61063945]
2,[0.544529   0.68031241 0.544529  ],[0.57376419 0.65842902 0.57376419],[0.4698975  0.5611669  0.38992175 0.64426345],[0.396673   0.43437833 0.35115537 0.5793336 ]
3,[0.54461043 0.67120997 0.54461043],[0.56442762 0.62584074 0.56442762],[0.4620263  0.54673916 0.38269025 0.63968337],[0.40647674 0.4258077  0.36456054 0.58316797]
4,[0.54952128 0.67880366 0.54952128],[0.57019009 0.66340612 0.57019009],[0.45848042 0.575196   0.37603262 0.6357418 ],[0.40349284 0.42968607 0.36305737 0.5825888 ]
5,[0.54811142 0.68062665 0.54811142],[0.56311401 0.63084926 0.56311401],[0.4700667  0.57608294 0.38980147 0.6433669 ],[0.41314927 0.45258656 0.36779904 0.5886677 ]
6,[0.5441447  0.67541312 0.5441447 ],[0.55858453 0.62841442 0.55858453],[0.47459298 0.636021   0.39165947 0.64401096],[0.4029333  0.47405583 0.35509574 0.6052054 ]
7,[0.54161866 0.67878502 0.54161866],[0.56107829 0.66610834 0.56107829],[0.46088272 0.54810435 0.38345724 0.64070815],[0.40487903 0.42556947 0.36575866 0.5769659 ]
8,[0.54482355 0.67409316 0.54482355],[0.56792836 0.66074901 0.56792836],[0.47088605 0.5617744  0.38561028 0.64935297],[0.39770022 0.4450171  0.34533098 0.5792629 ]
9,[0.54486481 0.67512043 0.54486481],[0.55566557 0.62561386 0.55566557],[0.46597967 0.55771756 0.3850767  0.64069307],[0.43585116 0.4765067  0.39210695 0.6063266 ]
10,[0.54733644 0.68070294 0.54733644],[0.56080713 0.62773634 0.56080713],[0.45208782 0.54133046 0.37716156 0.63359046],[0.4073805  0.43254176 0.36416978 0.5877124 ]
11,[0.54460623 0.6809918  0.54460623],[0.5731068  0.65511941 0.5731068 ],[0.47097078 0.6810858  0.38033813 0.6462506 ],[0.43114868 0.47280067 0.38411728 0.60412085]
12,[0.54385945 0.67620074 0.54385945],[0.56174085 0.66135752 0.56174085],[0.46692562 0.55138355 0.3898945  0.64023316],[0.40676603 0.42999774 0.36225146 0.5810736 ]
13,[0.54776176 0.68109476 0.54776176],[0.57109381 0.66666178 0.57109381],[0.4726892  0.5967272  0.3928338  0.64254814],[0.44597554 0.48923698 0.39431772 0.61596847]
14,[0.5441168  0.67131639 0.5441168 ],[0.56103945 0.62958067 0.56103945],[0.46875566 0.56875265 0.38420826 0.6405325 ],[0.39921826 0.45967594 0.34850284 0.5921894 ]
15,[0.5446943  0.68220884 0.5446943 ],[0.55897513 0.62581881 0.55897513],[0.46430796 0.56974256 0.37942985 0.6405464 ],[0.42100182 0.58791816 0.34651685 0.607821  ]
