,review,score
5769784,"Before I begin I'd just like point out that I am not reviewing this film as a work of ""art"" -- on that score, it seems just as good as most films, if not at least a little better -- but as a work of propaganda.  I will also try to avoid the mistake made by 99% of the customer reviewers on Amazon who think they have to recount the plot blow-by-blow, in excruciating detail (and often erroneous detail), even though a hundred other reviewers have already done so, and even though there is already a much better, more consice, and more accuarate Editorial Review at the top of every product page....<br /><br />A couple of years before 9/11, Tom Clancy wrote a novel, ""The Sum of All Fears,"" about a group of Islamic extremist-terrorists who are planning to set off a nuclear device in America.  When Hollywood turned this film into a movie, also before 9/11, they decided that it was much more plausible and responsible to make the bad guys white-supremacist neo-nazis.  Golly, and they wonder why the rest of the country views most people in the entertainment industry as knee-jerk liberals?!<br /><br />I saw ""The Siege"" when it first came out in theaters, and have recently viewed it again on television, and it seems even worse now than when I first saw it, because of 9/11.  At the time I saw the movie, I thought that it presented an implausible and unrealistic scenario regarding America's reaction to such a terrorist threat, but I did think they were presenting a plausible and realistic scenario regarding that terrorist threat.  When 9/11 happened, I was shocked and outraged, but I was also not surprised.  An open and free society such as ours has always been vulnerable to such attacks, and always will be -- AND SO WE STILL ARE.  The only thing that surprised me is that it has taken the terrorists so long to figure it out, and sometimes I think they still don't realize their potential.<br /><br />Not all Arabs are Muslims, but most profess to be.  Not all Muslims are extremists or terrorists, but a very few are.  And ALL of the terrorists who caused 9/11 WERE.  If ""The Siege"" is any indication, Hollywood apparently thinks most of the unwashed masses in flyover country don't know this.  Hollywood apparently thinks that most Americans (or at least most White Americans) are racist, sexist, stupid, and evil.  Hollywood apparently thinks that America is more at fault for terrorism than the extremists.  Hollywood apparently thinks that it is unacceptable to point out that there are more than a few people in the Arab and Muslim communities who hold negatively stereotypical views of America, Christians, Israel, Jews, etc. and that the extremists use those stereotypes to justify their terrorism.  This is where ""The Siege"" fails.<br /><br />After the worst terror incident in the film -- a truck bomb kills six hundred people in the building which houses the NYC FBI headquarters, effectively wiping out its anti-terroism agency -- having an army division occupy Brooklyn and declare martial law while they screen two thousand recent Arab immigrants that fit the profile of the twenty terrorists they are looking for hardly seems all that unreasonable.  In fact, the two-star general's rationale for this approach is quite logical.  But, of course, this is Hollywood, so this two-star general just has to be some sort of bigoted homicidal maniac who wraps himself in the flag and despises his president and the constitution.  After all, the only unacceptable government spending is on defense, and the only acceptable time to use the military is when we can guarantee that our country could not possibly benefit in any way from it -- anything less than perfect altruism is absolute corruption.  And, naturally, the military then proceeds to run amok in Brooklyn, torturing and murdering the innocent with impunity, all the while condemning any critics for daring to question their patriotism.  Funny, isn't it, how after five times as many people die on 9/11, a conservative Republican president reacts with far, far more restraint than ""The Siege""'s Bill Clinton?!  Sure, there have been abuses, but they have been the EXCEPTION, whereas ""The Siege"" posits that they would be the RULE.<br /><br />What this film, and much of America, and much of the world, fail to understand is this:  what Osama bin Laden, Al Quaeda, Islamofascists and terrorist-extremists hate about US is that we are not exactly like THEM.  Some Palestinians, like the Nazis, will not be happy until there are no more Jews left breathing on the face of the earth.  The Islamofascists will not be happy until everyone on the planet who does not surrender to THEIR particular interpretation of Islam is DEAD.  Pulling out of Palestine, pulling out of Iraq, electing a liberal Democrat to the American presidency will NOT put an end to it.  In fact, NOTHING will put an end to it.  There will always be terrorism, terrorists, extremism, extremists, crime, criminals, etc.  But as long as we choose idealism over reality, we will only be giving them more power.  Remember, it is THEIR idealism that makes them so willing to kill and die for their cause....<br /><br />One final note: remember that a work of fiction proves NOTHING.  No work of fiction can ""prove"" ANYTHING.  The writer is the god of his own fictional universe, and he gets to set all of the rules, so naturally what he writes ends up justifying his own point of view.  Imagine a presidential debate where only one candidate gets to speak -- for BOTH sides!  This is the case with ""The Siege,"" with Jack London's ""The Iron Heel,"" and pretty much any and all books and films.  So to call this film ""realistic"" or ""prophetic"" is patently absurd.  Still, I recommend seeing it at least once, whether you saw it before 9/11 or not.  The one thing that this film does prove, albeit unintentionally, is that Hollywood does make great propaganda.", 1.0
5041859,"I love all 4 of the movies. The way the storyline follows the experince of one brave woman. It's great! The action, aliens, and stuff had me glued to the TV. I would tell everybody if they like syfy and action get these movies.<br />Sheila", 5.0
7590002,i love this movie. it is something i would call off the chain. the efects and every thing was off the chain. if u havent seen this movie then u should go and get it. i bet u would like it., 5.0
7644284,"I really enjoy this movie so much,that I told all of my friends about this movie.Its a comming of age movie,for the whole family to watch together.A simple life that they share their ups & down. How young feelings start to mature. How one person can bring a small town together. A heartfelt must see dvd.", 5.0
262908,"Having been a fan of Walt Disney movies for years now, I was extremely pleased to find that Bambi was coming out on DVD. I instantly placed an order for it, it arrived within a few weeks (well before the projected due date) and was in perfect condition.<br />This film also contains so many special features, if you enjoy seeing the works of animation, you most certainly will enjoy this movie. It is filled with the poignant Disney magic, which we all remember, but along with it comes a wonderful backstory to the coming about of Bambi; one of the Disney movies which revolutionized the world of animation, using the multiplane camera to further the realism effects obtained in Bambi, impressionistic backgrounds and realistic, yet human animals, round out just a few, of the many, interesting aspects of this 1942 classic Disney film.<br />A great addition to any Disney lovers collection!! Certainly a must have in my book!!", 5.0
1267989,"Love the movie and the music CD. Wish the movie would have been in full screen though. With the wide screen everything shows so small, even on a large screen. But overall really glad I got it. Meryl Streep is a riot. As long as you like ABBA music, I'd recommend this.", 4.0
4677282,"This movie was thrilling and wonderfully acted. It just contained a dark, disturbing element that haunted me the night I saw it. If you can get past the gruesome part of the horrendous sex crimes then you'll enjoy this movie.", 5.0
1678107,"This movie was a genuine bore. There were a couple entertaining pieces here and there...but they only lasted for about a minute. Nothing was particularly clever or funny about it. Peach &amp; Pear were the best characters due to their names alone. Other than that I didn't much like it at all. I actually didn't finish the last half hour or so---and unlike good movies, I'm not sorry about that.", 2.0
3634885,"This is one of the great classic war movies (cliche but true).  Not much more one can say about it, save that I particularly enjoyed the short retrospective commentary featuring Anthony Quinn, Gregory Peck & Lee Thompson", 5.0
5564941,"This is a very entertaining film!  It is one that I have watched many times over the years.  I actually saw this in the theater, because I was and am such a fan of Chevy Chase.  However, this came out after his heyday, and it was di rigeur (sp?) by that time to bash anything that Chevy did.  I even liked some of his talk show stuff, but that is another matter isn't it!  Say what you want about Chase, he had a fantastic run didn't he?  If you are a fan of comedy, then you must admit that he left his mark.  I can't imagine that anyone watching this couldn't get some entertainment out of it.  If you know it is about an invisible man, then I think you know somewhat what you are getting into, if you don't care about that stuff, then obviously stick to what you like, but this was a good one, and if I were Chevy I'd be very proud to have this in my porfolio of films, cheers.", 4.0
989363,"I wanted to purchase the entire collection because I wanted to get fit with Richard Simmons. He does some of the best workouts and its perfect for people who as big as me and can tire easily. The collection is great it has all the workouts, the dvd quality is excellent, and the special features are also really good. I have enjoyed using these dvd's everyday so I can workout and feel better.", 5.0
5001735,"After screening about twenty minutes of this thing on my 60-inch plasma, I realized the TV had been irretrievably compromised by having this filth routed through it, so I had to lay my TV gently on the den floor and then smother it with a pillow.<br /><br />This movie should have been entitled Revolting People Who Are Not in the Least Bit Funny.  The movie is pathologically unfunny.  It is so unfunny, it is very hard to tell where the humor is supposed to lie.  Instead, the movie is a bleak yarn about stand-up comedians whose material is... supposed to be funny, apparently, judging by title and by the tittering of the comedy audiences in the movie, who constitute a kind of living laugh track.  But I cannot begin to fathom what is supposed to be funny about this material.  ""If the guy from MySpace (big MySpace logo in background, clearly a product placement) and the guy from Craigslist got in a fight, I wonder who'd win.""  This is one of the ""jokes"" in the movie that is supposed to be funny.  Then James Taylor features in the movie as a kind of commercial for himself, to no purpose whatsoever.  The only way I could make sense of this movie is as an anti-comedy: a movie that is supposed to be funny only because it is so completely unfunny.  However, this subtle type of humor is rarely intentionally perpetrated.  But if you want some genuine anti-comedy stand up material, here it is:<br /><br />(COMEDIAN GETS UP ON STAGE, COMES TENTATIVELY TO MICROPHONE) ""Uhh... hi.  The um, the scheduled comedian is stuck in traffic and he sent me over here to fill in for him till he gets here."" (LOOKS NERVOUS, CONSULTS PIECE OF PAPER, SAYS TREMULOUSLY) ""So uhhh... he emailed me some of his material and I'll ask you to bear with me while I get through it the best I can... (SQUINTS) But it's kind of hard to read.  My printer is low on toner.  I don't know if you've noticed, but Brother printers seem to eat toner.  For a couple years I had an Epson, which somehow lasted a lot longer on a single toner cartridge... though I might have been using it on the low-toner setting... I'm not quite sure.  You know how you can set the printer, through the computer, to be in toner-saver mode?  I think I might have done that with that other one... I don't know why I've never bothered to do that with the printer I have now but umm... Anyway, let's get started on some of this material and hopefully we can work through about half of it before Joe gets here.  But (CONSULTS WATCH) since I've been talking I see about five minutes have elapsed and so I'd better go through the material at about one and a half times normal speed in order to catch up... but then, that might not be very funny... on the other hand it might make it funnier... show of hands, who out there thinks that speeding things up makes them funnier?  C'mon now... okay, one... two... three... only three people?  Okay, well, I guess I could ask now who DOESN'T think speeding things up makes them funnier... but then I already know the answer, don't I?  I mean I could just subtract three from  the total number of people in the room... but then I suppose some people might not have an opinion one way or the other and so that approach might not work.  (CELL PHONE RINGS) Oh... could you... could you excuse me a moment?  I've GOTTA get this... Hello?  (LOWERS VOICE TO AN ANGUISHED, HISSING WHISPER) Where ARE you?!  ... You're, you're goddam right I'm filling in for you, I'm onstage right now.  That's right.  Right now.  I am standing in front of the audience.  How's it going?!  Well it's not going too well.  Because they're not laughing.""<br /><br />Apatow's movie, on the other hand, completely fails to accomplish anything in the humor or anti-humor department.  Instead it just makes you grim, grimmer than a holocaust documentary.  Grimmer than Grey Gardens.", 1.0
